VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost,AvgSalesPrice,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
1650,Circa Wines                ,21564,19,291.31,374.40000000000003,1.8649465130936118,15.332105263157894,0.35,578.8691484816825,287.5591484816825,15.13469202535171
1650,Circa Wines                ,21785,8,227.92,470.15999999999997,2.3419424481733233,28.49,0.35,726.926065304882,499.006065304882,62.37575816311025
1650,Circa Wines                ,22209,94,1691.06,846.72,4.217648268073244,17.99,0.35,1309.1348434893434,0.0,0.0
1650,Circa Wines                ,22225,2,27.98,16.1,0.08019668499147208,13.99,0.35,24.892610284602263,0.0,0.0
1650,Circa Wines                ,22227,132,1842.68,661.98,3.2974286665002905,13.95969696969697,0.35,1023.5037364100004,0.0,0.0
1650,Circa Wines                ,23442,1,20.99,14.28,0.07113097277504479,20.99,0.35,22.078663035038527,1.088663035038529,1.088663035038529
1650,Circa Wines                ,23444,24,287.76,198.48,0.988660747646421,11.99,0.35,306.8748626886868,19.1148626886868,0.7964526120286166
1650,Circa Wines                ,23445,12,167.88,114.24,0.5690477822003583,13.99,0.35,176.62930428030822,8.749304280308223,0.7291086900256852
1650,Circa Wines                ,23451,87,1070.6299999999999,524.7900000000001,2.614063249482897,12.306091954022987,0.35,811.390866537666,0.0,0.0
1650,Circa Wines                ,23475,7,202.93,479.76,2.389761589534698,28.990000000000002,0.35,741.7688639838996,538.8388639838995,76.9769805691285
1650,Circa Wines                ,23484,1,13.99,9.45,0.04707196727760317,13.99,0.35,14.610879949657848,0.6208799496578479,0.6208799496578479
1650,Circa Wines                ,24147,236,2354.64,567.36,2.826111254457242,9.97728813559322,0.35,877.2094019299342,0.0,0.0
1650,Circa Wines                ,24148,24,347.76,115.92,0.5774161319385989,14.49,0.35,179.22679404913632,0.0,0.0
1650,Circa Wines                ,24149,52,1039.48,432.32,2.1534553326405717,19.990000000000002,0.35,668.4207005117547,0.0,0.0
1650,Circa Wines                ,24510,600,9594.0,1425.6000000000004,7.101142492164138,15.99,0.35,2204.155603834099,0.0,0.0
1650,Circa Wines                ,24511,12,263.88,178.32,0.8882405507875341,21.99,0.35,275.7049854627501,11.824985462750078,0.9854154552291732
1650,Circa Wines                ,24512,164,3606.36,1489.32,7.41854204295026,21.990000000000002,0.35,2302.674680066077,0.0,0.0
1650,Circa Wines                ,24513,58,695.42,575.28,2.865562046080376,11.989999999999998,0.35,889.4547108401237,194.0347108401237,3.3454260489676497
1650,Circa Wines                ,24514,20,237.8,473.4,2.3580814083827875,11.89,0.35,731.9355098590503,494.1355098590503,24.706775492952513
1650,Circa Wines                ,24784,168,1714.32,295.68,1.4728295539303393,10.204285714285714,0.35,457.158199313739,0.0,0.0
1650,Circa Wines                ,25478,49,881.51,583.6800000000001,2.907403794771579,17.99,0.35,902.442159684264,20.93215968426398,0.42718693233191796
1650,Circa Wines                ,26089,48,815.52,268.32,1.3365450010504214,16.99,0.35,414.8562230785391,0.0,0.0
1650,Circa Wines                ,26090,108,2158.92,486.36,2.422637249220643,19.990000000000002,0.35,751.9732880757241,0.0,0.0
1650,Circa Wines                ,26093,48,1247.52,405.12,2.01796776545001,25.99,0.35,626.3661042545384,0.0,0.0
1650,Circa Wines                ,26623,108,1078.92,235.07999999999998,1.1709712240866617,9.99,0.35,363.463032652441,0.0,0.0
1650,Circa Wines                ,26624,108,1240.92,275.76,1.3736048356054869,11.49,0.35,426.35939205477763,0.0,0.0
1650,Circa Wines                ,26625,123,1965.77,926.5199999999999,4.61514488063967,15.981869918699187,0.35,1432.5156075086763,0.0,0.0
1650,Circa Wines                ,26626,72,1151.28,391.68,1.9510209675440857,15.99,0.35,605.586186103914,0.0,0.0
1650,Circa Wines                ,26627,90,1439.1,895.44,4.460330410482221,15.989999999999998,0.35,1384.4620467853574,0.0,0.0
1650,Circa Wines                ,26842,360,5036.4,694.8000000000001,3.460910356029491,13.989999999999998,0.35,1074.2475543938915,0.0,0.0
1650,Circa Wines                ,26877,12,227.88,153.96,0.7668994795830459,18.99,0.35,238.04138381474317,10.161383814743175,0.8467819845619312
1650,Circa Wines                ,26919,48,743.52,256.32,1.276771074348703,15.49,0.35,396.3027247297672,0.0,0.0
1650,Circa Wines                ,26921,48,839.52,276.24,1.3759957926735555,17.49,0.35,427.10153198872854,0.0,0.0
1650,Circa Wines                ,26923,48,719.52,239.76,1.1942830555003319,14.99,0.35,370.69889700846204,0.0,0.0
1650,Circa Wines                ,44742,91,3736.09,2383.68,11.873492800029325,41.05593406593407,0.35,3685.466912000045,0.0,0.0
1650,Circa Wines                ,46904,4,55.96,222.24,1.1070131225158233,13.99,0.35,343.61078941925507,287.6507894192551,71.91269735481377
1655,FABRIZIA SPIRITS LLC       ,3542,11745,204376.55,31749.949999999997,161.66764145640863,17.401153682418048,0.35,49094.79637147139,0.0,0.0
1655,FABRIZIA SPIRITS LLC       ,3546,16344,282778.56,33552.36,170.84533696891955,17.301674008810572,0.35,51881.85436456756,0.0,0.0
1655,FABRIZIA SPIRITS LLC       ,4178,104656,1125892.44,33107.479999999996,168.58005150134787,10.758030499923558,0.35,51193.9385407713,0.0,0.0
1655,FABRIZIA SPIRITS LLC       ,4411,26645,275211.55,17071.92,86.9285476522795,10.328825295552637,0.35,26398.228534849655,0.0,0.0
